title,artist,album,genre,label,bpm,bpmAnalyzed,key,dateAdded,fileType,bitrate,year,rating
01. Otto von Schirach - Miami All Stars (Tremendo Intro).aiff,,,,,,129.99999999999997,21,1776312000,aiff,2117,,0
02. Low End Resorts - Night Asylum.aiff,,,,,,140.99999999999997,19,1776312000,aiff,2117,,0
4AM,Tre Oh Fie,Homecore! Miami All-Stars,Breaks/Electro/Breakbeat/House/IDM/Drum & Bass/Techno,,,140.0,21,1776312000,aiff,2117,2022,0
04. Jesse Perez - Pocket Full Of Ones.aiff,,,,,,122.0,13,1776312000,aiff,2117,,0
05. Bitter Babe - Gimme.aiff,,,,,,104.0,7,1776312000,aiff,2117,,0
06. TIDUR. - You And I.aiff,,,,,,133.0,13,1776312000,aiff,2117,,0
07. MJ Nebreda - Arquitecto.aiff,,,,,,140.0,1,1776312000,aiff,2117,,0
08. Miles Amillion - Heavy Heads.aiff,,,,,,139.0,17,1776312000,aiff,2117,,0
09. Roiju - Sin Gravedad.aiff,,,,,,132.99999999999997,1,1776312000,aiff,2117,,0
10. Nick León - Sapo.aiff,,,,,,138.00000000000003,19,1776312000,aiff,2117,,0
Phonkay (prod. by Danny Daze & Nick León),La Goony Chonga,Homecore! Miami All-Stars,Breaks/Electro/Breakbeat/House/IDM/Drum & Bass/Techno,Omnidisc,,126.0300064086914,19,1776312000,flac,789,2022,0
110 Dudes,Danny Daze,Homecore! Miami All-Stars,Breaks/Electro/Breakbeat/House/IDM/Drum & Bass/Techno,Omnidisc,,110.0,17,1776312000,flac,777,2022,0
Sureshot,Craze,Homecore! Miami All-Stars,Breaks/Electro/Breakbeat/House/IDM/Drum & Bass/Techno,Omnidisc,,87.0,13,1776312000,flac,974,2022,0
Drop In2 The Pain,Sel.6,Homecore! Miami All-Stars,Breaks/Electro/Breakbeat/House/IDM/Drum & Bass/Techno,Omnidisc,,135.0,1,1776312000,flac,896,2022,0
