title,artist,album,genre,bpm,bpm_manual,bpm_alt,key,key_numeric,label,year,track_number,remix,duration_sec,bitrate,file_path
Runnup On'm,"Shigeto, cleveland thrasher, Ahya Simone",Cherry Blossom Baby,,130.15,0.0,195.23,12A,23,,2024,3,,258,2117,"/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/new vox 140  grime/1. Shigeto, cleveland thrasher, Ahya Simone - Runnup On'm.aiff"
Different (SBTRKT Sirens Remix),"Barry Can’t Swim, SBTRKT",Different (SBTRKT Sirens Remix),,132.15,0.0,99.11,4B,3,,2025,1,SBTRKT Sirens Remix,221,2304,"/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/Silent Disco/16. Barry Can’t Swim, SBTRKT - Different (SBTRKT Sirens Remix).aiff"
Running In Place,"Harvey Sutherland, They Hate Change",Running In Place,UKG,127.22,0.0,95.41,3B,2,,2025,1,,196,2304,"/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/Silent Disco/19. Harvey Sutherland, They Hate Change - Running In Place.aiff"
Heaven (Danny Krivit Edit),"The Vision, Andreya Triana",Edits by Mr. K,,141.0,0.0,105.75,7B,6,,2019,1,Danny Krivit Edit,381,1411,"/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/Silent Disco/10. The Vision, Andreya Triana - Heaven (Danny Krivit Edit).aiff"
Звёздная пурга (Директор Всего Remix),Золотые зубы,Золотые ремиксы,Electro,105.75,0.0,158.63,6B,5,,2025,2,Директор Всего Remix,163,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/after hours bounce/13. Золотые зубы - Звёздная пурга (Директор Всего Remix).aiff
It'll All Be Over (DJ Koze Remix - Radio Edit),Gerry Read,It'll All Be Over (DJ Koze Remix - Radio Edit),,137.54,0.0,206.31,6B,5,,2019,1,DJ Koze Remix - Radio Edit,188,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/Silent Disco/14. Gerry Read - It'll All Be Over (DJ Koze Remix - Radio Edit).aiff
On My Mind (Purple Disco Machine Remix),"Diplo, SIDEPIECE",Do You Dance?,,0.0,0.0,0.0,6A,17,,2021,3,Purple Disco Machine Remix,0,0,"/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/Silent Disco/38. Diplo, SIDEPIECE - On My Mind (Purple Disco Machine Remix).aiff"
Number One Station,"Sol Power All-Stars, Daniel Meinecke",Special Features,,0.0,0.0,0.0,5A,16,,2019,3,,0,0,"/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/Silent Disco/11. Sol Power All-Stars, Daniel Meinecke - Number One Station.aiff"
No More Thrills (Dyed Soundrom's Morning Mix),So Inagawa,No More Thrills,,137.56,0.0,103.17,7B,6,Tsuba Records,2009,2,Dyed Soundrom's Morning Mix,408,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/traumer style rominz/14. So Inagawa - No More Thrills (Dyed Soundrom's Morning Mix).aiff
Feel The Rhythm ft. Marsch (Original Mix),"Kenji Hina, Marsch",Shibuya District EP,,120.0,0.0,90.0,11B,10,,2022,2,Original Mix,411,1411,"/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/techno (deepdrivinghypnotic)/03. Kenji Hina, Marsch - Feel The Rhythm ft. Marsch (Original Mix).aiff"
Run It By Me (Extended Version),"Human Movement, Eliot Porter",Run It By Me,,134.29,0.0,100.71,7B,6,,2018,3,Extended Version,381,1411,"/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/Silent Disco/33. Human Movement, Eliot Porter - Run It By Me (Extended Version).aiff"
130 id,,,,130.15,0.0,195.23,12B,11,,,,,177,2822,/Users/suhaas/Music/130 id.wav
"Chicken, Understood (Truncate Remix)","Heiko Laux, Diego Hostettler","Chicken, Understood",,0.0,0.0,0.0,1A,12,,2013,2,Truncate Remix,0,0,"/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/techno (deepdrivinghypnotic)/10. Heiko Laux, Diego Hostettler - Chicken, Understood (Truncate Remix).aiff"
